competition_id,date,name
1398,2016-12-10,2016 Sioux Empire Push-Pull Open
1399,2016-12-10,Power for a Purpose
1400,2016-12-10,Brother Bennett Memorial
1401,2016-12-11,Midwest Senior States
1402,2016-12-10,2016 Michigan No Frills Meet #2
1403,2016-11-05,2016 Raw Collegiate Cup
1404,2016-12-10,Team Phoinix Holiday Classic 2016
1405,2016-12-10,2016 Holiday Havoc
1406,2016-12-10,Powerlifting for Pink
1407,2016-12-10,La Tech Intersquad Meet
1408,2016-12-10,Beast of the Metro East
1412,2016-12-10,16th Ketchikan Winter Meet
1413,2016-12-03,2016 New England Open
1414,2016-12-10,Next Level Fitness Lift4Life Raw Open
1416,2016-12-17,2016 Winter Pure Fitness Open
1417,2016-12-17,2016 Philadelphia LOVE Championship
1418,2016-12-10,Blizzard Classic
1419,2016-10-30,Pittsburgh Raw Open
1420,2016-12-09,2016 American Open/Police + Fire Nationals
1422,2016-12-16,2016 High School Raw Nationals
1423,2017-01-07,Wyoming State Powerlifting & BP Championships
1424,2016-12-17,2016 SkillCom Competition
1425,2017-01-14,St John's High School Raw Classic
1427,2017-01-14,2017 Louisiana State Championship
1428,2017-01-14,Worcester Open
1429,2017-01-21,2017 North Mississippi Championships
1430,2017-01-21,"2017 ""Rookie"" Competition"
1431,2017-01-21,Boynton Barbell Center Powerlifting Championship
1433,2017-01-21,2017 Des Moines Metro Classic
1435,2017-01-22,2017 Garden State Winter War
1437,2017-01-15,Illinois Collegiate Powerlifting Meet
1438,2017-01-28,Arizona Winter High School Championships & Open
1439,2017-01-29,Reykjavík International Games
1440,2017-01-28,Kentucky Open Raw Championship
1441,2017-01-21,2017 Oklahoma State Championships
1444,2017-02-04,2017 Minnesota High School State Championship
1448,2017-02-05,2017 SBWC Winter Invitational
1449,2017-02-04,Winter Open
1450,2017-01-28,Northeast Iron Beast Classic IV NYS Championships
1455,2017-02-04,Georgia State Championships
1456,2017-02-04,Georgia High School State Championships
1458,2017-02-04,Beyond Limits Classic
1460,2017-02-04,South Louisiana High School Qualifier
1463,2017-01-28,2017 Wisconsin State Open
1465,2017-02-12,4th Annual Elite High School Cup
1467,2017-02-11,Montana State Championships
1471,2017-02-04,2017 Silver Star Open
1473,2015-07-07,13th Annual IPF/NAPF North American Regional Powerlifting Championships
1474,2016-03-11,WHSPA State Meet
1477,2017-02-18,Youth Nationals
1478,2017-02-19,2017 Brand X Method Teen Junior Championship
1480,2016-12-09,2016 Southeast Regionals
1481,2017-02-18,2017 Minnesota Women's State Championship
1482,2017-01-29,2017 Spartan Open
1483,2017-01-21,2017 Tenth Annual Capital City Clash
1487,2017-01-15,2017 Winter Games of Texas
1488,2017-02-11,2017 Pure Fitness Open
1489,2017-01-22,Juggernaut Winter Open
1490,2017-02-19,2017 Murder of Crows Open
1493,2017-02-25,Tempe Classic
1495,2017-02-25,2017 Michigan High School Qualifier
1496,2017-02-25,Alabama State Championships
1497,2017-02-26,2017 Bare Bones Qualifier
1500,2017-02-26,Cudahy High School National Qualifier
1501,2017-02-25,2017 Virginia State Championship
1502,2017-02-26,2017 Texas Strength Classic
1503,2017-02-25,5th Annual Winter Classic
1506,2017-02-25,2017 Liberty Bell Classic
1507,2017-02-18,Pelican State Open & Free High School Qualifier
1508,2017-02-12,Illinois Women's Raw Open
1512,2017-02-25,3rd Frostbite Challenge
1514,2017-03-03,2017 Southern Iron Raw Open
1516,2017-02-11,2017 Colorado State Championships
1518,2017-03-04,Quad City Throw Down
1520,2017-03-04,2017 Arlington Strength Raw Classic
1523,2017-03-04,Arnold - SSP Nutrition Pro Raw Bench
1524,2017-03-05,Arnold - Slingshot Pro Deadlift
1525,2017-03-05,Arnold - NextLifter Ohio Classic
1528,2017-03-04,Arnold - Grand Prix
1530,2017-03-04,Arnold - Slingshot Pro American
1531,2017-03-12,University Academy Qualifier
1533,2017-03-11,2017 Woodward Academy High School Invitational
1534,2017-02-25,Idaho State Championships
1535,2017-03-11,2017 Spring Forward Championship
1536,2017-03-12,7th Annual Ryan Moore New England States Open High School Championshp
1537,2017-03-11,2017 Military Nationals
1538,2017-03-11,Cajun Pride National Qualifier
1539,2017-03-11,2017 Wisconsin State High School Championships
1540,2017-03-11,2017 Cowboy State Raw
1542,2017-03-03,Arnold - A7 Bar Grip Pro Raw Challenge
1549,2017-03-05,Arnold - Titan Pro Bench Bash
1571,2017-03-18,Exile Open
1572,2017-02-18,2017 Glen Mills Invitational
1573,2017-03-18,2017 New Mexico Open State Championships
1579,2017-02-25,South Dakota High School Qualifier
1582,2017-03-19,2017 Whippany Athletic Club Spring Classic
